"","TeamWin","Dragon","Herald","FirstBlood","blueWardsPlaced","blueWardsDestroyed","blueKills","blueAssists","blueTowers","blueTotalGold","blueAvgLevel","blueTotalExperience","blueMinions","blueJungleMin","GoldDiff","ExpDiff","redWardsPlaced","redWardsDestroyed","redKills","redAssists","redTowers","redTotalGold","redAvgLevel","redTotalExperience","redMinions","redJungleMin","TowersDiff","WardsPlacedDiff","WardsDestDiff","KillDiff","AssistDiff","MinionsDiff","JungleMinDiff","LevelsDiff"
"1","Red","Neither","Neither","Blue",28,2,9,11,0,17210,6.6,17039,195,36,643,-8,15,6,6,8,0,16567,6.8,17047,197,55,0,13,-4,3,3,-2,-19,-0.2
"2","Red","Red","Red","Red",12,1,5,5,0,14712,6.6,16265,174,43,-2908,-1173,12,1,5,2,1,17620,6.8,17438,240,52,-1,0,0,0,3,-66,-9,-0.2
"3","Red","Blue","Neither","Red",15,0,7,4,0,16113,6.4,16221,186,46,-1172,-1033,15,3,11,14,0,17285,6.8,17254,203,28,0,0,-3,-4,-10,-17,18,-0.399999999999999
"4","Red","Neither","Blue","Red",43,1,4,5,0,15157,7,17954,201,55,-1321,-7,15,2,5,10,0,16478,7,17961,235,47,0,28,-1,-1,-5,-34,8,0
"5","Red","Red","Neither","Red",75,4,6,6,0,16400,7,18543,210,57,-1004,230,17,2,6,7,0,17404,7,18313,225,67,0,58,2,0,-1,-15,-10,0
"6","Blue","Blue","Neither","Red",18,0,5,6,0,15899,7,18161,225,42,698,101,36,5,3,2,0,15201,7,18060,221,59,0,-18,-5,2,4,4,-17,0
"7","Blue","Blue","Neither","Blue",18,3,7,7,0,16874,6.8,16967,225,53,2411,1563,57,1,6,9,0,14463,6.4,15404,164,35,0,-39,2,1,-2,61,18,0.399999999999999
"8","Red","Red","Neither","Red",16,2,5,3,0,15305,6.4,16138,209,48,-2615,-800,15,0,13,11,0,17920,6.6,16938,157,54,0,1,2,-8,-8,52,-6,-0.199999999999999
"9","Red","Red","Red","Red",16,3,7,8,0,16401,7.2,18527,189,61,-1979,-771,15,2,7,5,0,18380,7.2,19298,240,53,0,1,1,0,3,-51,8,0
"10","Blue","Blue","Neither","Blue",13,1,4,5,0,15057,6.8,16805,220,39,-1548,-1574,16,2,5,4,0,16605,6.8,18379,247,43,0,-3,-1,-1,1,-27,-4,0
"11","Red","Red","Neither","Blue",20,3,4,6,0,15474,6.6,16611,231,28,331,-1585,15,2,4,5,0,15143,7.2,18196,216,51,0,5,1,0,1,15,-23,-0.600000000000001
"12","Red","Neither","Blue","Blue",33,2,11,7,0,16695,7,18507,157,40,-1505,-635,17,1,11,9,0,18200,7,19142,188,52,0,16,1,0,-2,-31,-12,0
"13","Blue","Blue","Neither","Blue",18,1,7,11,0,17865,7.4,19102,238,53,3274,1659,12,1,1,1,0,14591,6.8,17443,240,50,0,6,0,6,10,-2,3,0.600000000000001
"14","Red","Neither","Blue","Red",14,3,4,1,0,14979,6.6,17213,210,52,-3414,-1141,20,3,9,11,0,18393,7.2,18354,229,51,0,-6,0,-5,-10,-19,1,-0.600000000000001
"15","Blue","Neither","Neither","Blue",15,3,4,4,0,15722,6.8,17896,224,51,-470,-187,102,1,4,3,0,16192,7,18083,242,48,0,-87,2,0,1,-18,3,-0.2
"16","Red","Neither","Neither","Red",17,1,3,3,0,15015,6.8,16974,209,53,-1996,-1804,18,3,7,13,0,17011,7.2,18778,237,51,0,-1,-2,-4,-10,-28,2,-0.4
"17","Blue","Red","Neither","Blue",14,1,10,8,0,19733,7.6,20862,263,56,5228,3378,13,2,2,2,0,14505,6.8,17484,210,64,0,1,-1,8,6,53,-8,0.8
"18","Red","Neither","Blue","Red",43,3,3,3,0,14852,6.8,16888,203,54,-1975,-1345,17,14,7,6,0,16827,6.8,18233,218,53,0,26,-11,-4,-3,-15,1,0
"19","Blue","Red","Red","Blue",21,4,5,11,0,16282,6.8,17378,213,49,882,512,19,3,4,3,0,15400,6.6,16866,228,52,0,2,1,1,8,-15,-3,0.2
"20","Red","Neither","Neither","Red",11,3,5,5,0,14994,7,17924,188,48,-3155,-2773,15,1,9,9,0,18149,7.4,20697,219,56,0,-4,2,-4,-4,-31,-8,-0.4
"21","Blue","Blue","Neither","Blue",14,3,11,15,0,18606,7.2,19254,214,45,2526,1625,12,2,6,4,0,16080,7,17629,225,48,0,2,1,5,11,-11,-3,0.2
"22","Red","Red","Neither","Red",13,1,4,5,0,15878,6.8,16945,203,43,-2835,-2821,15,3,13,14,0,18713,7.2,19766,209,45,0,-2,-2,-9,-9,-6,-2,-0.4
"23","Red","Red","Neither","Red",17,2,4,3,0,15773,7,17562,238,56,-1254,-567,16,3,6,10,0,17027,7,18129,231,60,0,1,-1,-2,-7,7,-4,0
"24","Red","Blue","Blue","Red",78,4,4,4,0,15906,6.8,19219,238,67,406,1283,15,3,3,3,0,15500,7,17936,220,64,0,63,1,1,1,18,3,-0.2
"25","Blue","Neither","Neither","Red",33,3,6,10,0,16515,6.8,17223,208,45,-1020,493,18,3,9,13,0,17535,6.6,16730,197,36,0,15,0,-3,-3,11,9,0.2
"26","Red","Red","Neither","Red",17,1,4,4,0,15415,6.2,16047,204,44,-2472,-1067,19,2,8,13,0,17887,7,17114,221,36,0,-2,-1,-4,-9,-17,8,-0.8
"27","Blue","Blue","Neither","Red",18,1,8,9,0,17178,7,17854,209,44,1260,-55,10,3,6,3,0,15918,6.8,17909,233,36,0,8,-2,2,6,-24,8,0.2
"28","Red","Red","Neither","Blue",19,3,7,9,0,17226,7,18982,228,61,1857,2015,14,4,4,2,0,15369,6.6,16967,202,49,0,5,-1,3,7,26,12,0.4
"29","Red","Blue","Neither","Blue",105,5,8,13,0,17474,6.8,17436,217,53,1320,-413,65,3,6,11,0,16154,6.8,17849,223,40,0,40,2,2,2,-6,13,0
"30","Red","Blue","Neither","Red",18,5,3,2,0,14905,6.8,17974,233,52,-3282,-1647,18,3,8,12,0,18187,7.4,19621,225,52,0,0,2,-5,-10,8,0,-0.600000000000001
"31","Blue","Blue","Neither","Blue",22,7,9,10,0,18132,7,18076,228,40,2883,2111,21,4,4,2,0,15249,6.2,15965,227,36,0,1,3,5,8,1,4,0.8
"32","Blue","Blue","Blue","Blue",17,4,5,6,0,16053,6.8,17406,218,51,1703,1696,15,2,2,2,0,14350,6.4,15710,206,48,0,2,2,3,4,12,3,0.399999999999999
"33","Red","Red","Neither","Red",12,3,6,7,0,16438,6.8,16989,203,32,608,-85,19,2,4,4,0,15830,6.8,17074,206,44,0,-7,1,2,3,-3,-12,0
"34","Red","Red","Neither","Blue",15,2,5,4,0,15634,6.8,16355,201,45,71,-359,14,1,4,4,0,15563,6.8,16714,222,38,0,1,1,1,0,-21,7,0
"35","Blue","Red","Neither","Red",40,2,6,4,0,16085,7.4,19076,204,56,275,872,15,1,4,5,0,15810,7.2,18204,223,62,0,25,1,2,-1,-19,-6,0.2
"36","Red","Red","Red","Red",24,3,3,6,0,14981,6.8,17082,235,52,-809,638,17,2,4,7,0,15790,6.8,16444,218,50,0,7,1,-1,-1,17,2,0
"37","Red","Blue","Neither","Red",12,4,2,2,0,15421,7.2,19276,217,84,-2771,-1125,14,2,8,5,0,18192,7.4,20401,234,64,0,-2,2,-6,-3,-17,20,-0.2
"38","Red","Red","Blue","Blue",20,2,5,4,0,15665,6.8,17716,203,48,-1730,-1236,40,4,6,6,0,17395,7,18952,214,67,0,-20,-2,-1,-2,-11,-19,-0.2
"39","Red","Red","Blue","Red",11,3,7,5,0,17528,7.2,19609,234,68,-904,1377,18,1,9,9,0,18432,7,18232,227,40,0,-7,2,-2,-4,7,28,0.2
"40","Red","Red","Blue","Red",18,2,3,3,0,15032,6.6,16832,213,48,-1683,-1363,36,3,6,6,0,16715,7,18195,236,44,0,-18,-1,-3,-3,-23,4,-0.4
"41","Red","Red","Neither","Red",28,3,4,3,0,15483,6.8,17362,222,48,-3025,-1833,41,0,11,16,0,18508,7.2,19195,213,39,0,-13,3,-7,-13,9,9,-0.4
"42","Blue","Neither","Neither","Red",36,1,10,12,0,19226,7.4,20118,231,44,3004,2300,16,2,6,7,0,16222,7,17818,185,39,0,20,-1,4,5,46,5,0.4
"43","Blue","Blue","Neither","Red",18,3,9,14,0,16945,6.8,17806,204,36,1574,761,17,2,6,6,0,15371,6.8,17045,194,54,0,1,1,3,8,10,-18,0
"44","Blue","Neither","Neither","Blue",12,2,5,3,0,15000,6.6,16493,233,16,-1036,-1423,19,1,5,4,0,16036,7,17916,221,44,0,-7,1,0,-1,12,-28,-0.4
"45","Red","Red","Blue","Blue",18,4,3,2,0,15888,7.4,19090,252,60,16,433,39,4,4,2,0,15872,7,18657,243,49,0,-21,0,-1,0,9,11,0.4
"46","Red","Neither","Red","Red",41,0,1,0,0,12925,6.4,15498,187,32,-6386,-4210,12,1,10,6,1,19311,7.2,19708,247,56,-1,29,-1,-9,-6,-60,-24,-0.8
"47","Blue","Neither","Neither","Blue",14,4,11,9,0,19250,7.6,19703,251,48,5096,3310,15,3,2,2,0,14154,6.4,16393,196,53,0,-1,1,9,7,55,-5,1.2
"48","Blue","Blue","Neither","Blue",19,1,8,5,1,18355,7,18790,218,54,2756,1683,13,5,4,5,0,15599,6.8,17107,200,57,1,6,-4,4,0,18,-3,0.2
"49","Blue","Neither","Blue","Red",15,2,2,2,0,13978,6.6,16429,180,44,-977,-1025,12,4,3,1,0,14955,6.8,17454,218,56,0,3,-2,-1,1,-38,-12,-0.2
"50","Red","Neither","Neither","Red",16,1,5,8,0,15851,6.8,17366,206,56,-808,-1655,38,6,5,6,0,16659,7.2,19021,241,44,0,-22,-5,0,2,-35,12,-0.4
"51","Red","Red","Neither","Red",14,0,7,5,0,16474,6.6,17408,209,50,-1559,-407,22,4,9,13,0,18033,6.8,17815,206,53,0,-8,-4,-2,-8,3,-3,-0.2
"52","Blue","Neither","Neither","Red",18,0,6,6,0,16590,7,18284,213,49,544,75,12,1,8,7,0,16046,7,18209,182,44,0,6,-1,-2,-1,31,5,0
"53","Blue","Blue","Blue","Blue",22,4,5,2,0,15737,7,18634,217,53,1381,1017,16,3,2,1,0,14356,7,17617,212,60,0,6,1,3,1,5,-7,0
"54","Blue","Red","Neither","Blue",37,2,5,5,0,16990,7.4,19634,248,54,2031,1449,15,1,3,5,0,14959,7,18185,210,68,0,22,1,2,0,38,-14,0.4
"55","Red","Blue","Neither","Red",14,4,3,2,0,15297,7,19210,246,56,131,370,20,2,3,1,0,15166,7.2,18840,227,64,0,-6,2,0,1,19,-8,-0.2
"56","Red","Red","Blue","Red",16,2,4,4,0,15651,7,17696,224,53,-2699,-2749,30,2,10,11,0,18350,7.4,20445,201,54,0,-14,0,-6,-7,23,-1,-0.4
"57","Red","Blue","Neither","Blue",17,0,5,7,0,15587,6.8,16746,181,63,-1672,-2698,14,0,7,6,0,17259,7.4,19444,218,76,0,3,0,-2,1,-37,-13,-0.600000000000001
"58","Blue","Blue","Neither","Blue",19,3,10,11,0,17777,7.2,18131,213,42,1201,316,18,4,6,5,0,16576,6.8,17815,234,44,0,1,-1,4,6,-21,-2,0.4
"59","Blue","Blue","Blue","Blue",29,3,7,5,0,16426,7,18407,222,55,-108,59,14,4,5,4,0,16534,6.8,18348,247,44,0,15,-1,2,1,-25,11,0.2
"60","Red","Red","Neither","Red",12,0,10,11,1,20278,7.2,19575,236,58,4633,2269,20,1,7,6,0,15645,6.6,17306,182,45,1,-8,-1,3,5,54,13,0.600000000000001
"61","Red","Red","Neither","Red",18,4,2,0,0,13791,6.6,16437,191,62,-2262,-1391,18,3,7,4,0,16053,6.8,17828,218,48,0,0,1,-5,-4,-27,14,-0.2
"62","Red","Red","Neither","Red",24,3,6,5,0,16505,7,17667,208,70,-49,500,17,2,7,10,0,16554,6.8,17167,207,45,0,7,1,-1,-5,1,25,0.2
"63","Blue","Blue","Red","Blue",18,2,6,4,0,17277,7.2,19610,229,54,1687,1089,36,3,4,5,0,15590,7.2,18521,232,56,0,-18,-1,2,-1,-3,-2,0
"64","Blue","Blue","Blue","Blue",122,3,9,10,0,18269,7.2,19659,229,68,3933,2922,14,3,1,1,0,14336,6.4,16737,233,40,0,108,0,8,9,-4,28,0.8
"65","Red","Blue","Neither","Red",12,4,4,3,0,14166,6.6,15959,203,41,-4061,-4397,16,2,10,6,0,18227,7.4,20356,224,72,0,-4,2,-6,-3,-21,-31,-0.800000000000001
"66","Red","Neither","Red","Red",52,2,6,7,0,15456,6.6,16280,188,42,-4920,-3280,15,1,12,11,1,20376,7.4,19560,240,62,-1,37,1,-6,-4,-52,-20,-0.800000000000001
"67","Red","Neither","Neither","Red",19,2,4,2,0,15180,7,17773,210,52,-1705,-1839,11,4,5,1,0,16885,7.2,19612,227,62,0,8,-2,-1,1,-17,-10,-0.2
"68","Red","Blue","Red","Blue",32,4,7,8,0,16179,6.8,16814,212,46,105,-1547,24,5,8,5,0,16074,7,18361,200,42,0,8,-1,-1,3,12,4,-0.2
"69","Blue","Red","Neither","Red",14,0,3,3,0,16026,7,18490,233,57,-554,521,11,1,5,6,0,16580,6.8,17969,234,44,0,3,-1,-2,-3,-1,13,0.2
"70","Red","Red","Neither","Blue",19,5,4,4,0,14850,6.8,17145,198,53,-1037,-1577,18,4,5,5,0,15887,7,18722,241,44,0,1,1,-1,-1,-43,9,-0.2
"71","Red","Red","Blue","Blue",16,2,9,7,0,17347,7,18573,202,62,-1144,480,13,5,8,11,1,18491,7,18093,199,45,-1,3,-3,1,-4,3,17,0
"72","Blue","Red","Neither","Blue",36,0,5,6,0,15887,6.8,17591,200,32,1173,953,12,1,4,3,0,14714,6.6,16638,186,63,0,24,-1,1,3,14,-31,0.2
"73","Red","Red","Neither","Blue",18,2,8,11,0,17399,7,19449,232,44,3194,2534,13,3,2,2,0,14205,6.6,16915,208,51,0,5,-1,6,9,24,-7,0.4
"74","Red","Blue","Neither","Blue",13,3,2,1,0,13828,6.6,16629,204,38,-2622,-1136,12,0,7,7,0,16450,6.8,17765,192,36,0,1,3,-5,-6,12,2,-0.2
"75","Blue","Blue","Red","Blue",15,3,6,4,0,16645,7.2,19110,242,52,1151,470,15,2,4,3,0,15494,7,18640,205,50,0,0,1,2,1,37,2,0.2
"76","Blue","Blue","Blue","Blue",50,4,6,8,0,16248,6.8,17200,200,52,1463,1490,48,2,4,8,0,14785,6.6,15710,169,52,0,2,2,2,0,31,0,0.2
"77","Red","Red","Red","Red",14,2,4,1,0,15310,7,18337,221,52,-1038,-1307,15,2,6,5,0,16348,7.2,19644,226,66,0,-1,0,-2,-4,-5,-14,-0.2
"78","Blue","Neither","Blue","Blue",17,2,8,7,0,16784,6.6,17242,212,40,1424,1060,13,4,4,5,0,15360,6.4,16182,180,61,0,4,-2,4,2,32,-21,0.199999999999999
"79","Blue","Blue","Neither","Red",18,1,13,18,0,19032,7.4,18951,232,44,527,721,12,4,9,5,0,18505,7,18230,216,63,0,6,-3,4,13,16,-19,0.4
"80","Red","Red","Red","Red",17,5,7,12,0,17518,7.2,18342,242,46,1807,932,52,4,6,9,0,15711,6.8,17410,198,60,0,-35,1,1,3,44,-14,0.4
"81","Red","Red","Blue","Blue",43,6,11,12,0,18976,7.4,20326,256,43,2856,1262,16,0,4,6,0,16120,7.2,19064,210,72,0,27,6,7,6,46,-29,0.2
"82","Red","Blue","Red","Red",12,1,6,10,0,16143,6.6,16617,204,56,-964,-2454,13,1,6,3,0,17107,7,19071,241,56,0,-1,0,0,7,-37,0,-0.4
"83","Red","Red","Blue","Red",20,2,7,6,0,15868,7,17111,199,51,-178,524,42,7,8,6,0,16046,6.8,16587,178,47,0,-22,-5,-1,0,21,4,0.2
"84","Blue","Blue","Neither","Red",18,3,9,7,0,17977,7,18162,235,41,705,192,16,0,8,8,0,17272,7,17970,207,44,0,2,3,1,-1,28,-3,0
"85","Blue","Blue","Neither","Red",16,0,10,14,0,18138,7,18159,208,55,908,306,15,1,10,16,0,17230,7,17853,210,44,0,1,-1,0,-2,-2,11,0
"86","Blue","Blue","Blue","Red",14,2,7,12,0,18025,7.2,19864,261,68,3558,3243,25,0,2,3,0,14467,6.8,16621,220,56,0,-11,2,5,9,41,12,0.4
"87","Red","Red","Neither","Red",12,6,1,0,0,14625,6.8,17769,241,56,-1299,-49,53,1,6,3,0,15924,7,17818,218,47,0,-41,5,-5,-3,23,9,-0.2
"88","Blue","Blue","Neither","Red",16,4,5,7,0,15752,6.6,17113,201,48,-1763,-1864,19,2,8,6,0,17515,7.2,18977,248,40,0,-3,2,-3,1,-47,8,-0.600000000000001
"89","Blue","Neither","Neither","Red",15,0,10,12,0,18480,7.4,19565,232,64,2547,2189,12,1,4,4,0,15933,6.6,17376,247,41,0,3,-1,6,8,-15,23,0.800000000000001
"90","Red","Blue","Red","Red",13,3,3,2,0,14995,6.6,16206,210,53,-3685,-3119,20,3,10,13,0,18680,7.4,19325,200,67,0,-7,0,-7,-11,10,-14,-0.800000000000001
"91","Red","Red","Neither","Blue",83,13,7,3,0,15655,6.4,15827,194,25,-3689,-4682,35,2,11,7,0,19344,7.2,20509,216,59,0,48,11,-4,-4,-22,-34,-0.8
"92","Red","Red","Red","Blue",17,4,3,2,0,15562,7.2,18590,236,73,-764,803,33,4,5,6,0,16326,6.8,17787,233,46,0,-16,0,-2,-4,3,27,0.4
"93","Blue","Red","Neither","Blue",16,3,9,5,0,17139,7.2,19137,223,51,3037,2694,14,2,2,2,0,14102,6.6,16443,213,41,0,2,1,7,3,10,10,0.600000000000001
"94","Blue","Red","Neither","Blue",14,4,7,6,1,19229,7.2,18820,257,62,3545,2162,19,3,7,10,0,15684,6.6,16658,145,36,1,-5,1,0,-4,112,26,0.600000000000001
"95","Red","Blue","Neither","Red",14,2,7,10,0,16972,7.2,19060,209,48,-1031,-394,16,4,7,7,0,18003,7.4,19454,255,60,0,-2,-2,0,3,-46,-12,-0.2
"96","Red","Red","Neither","Red",17,1,5,6,0,16249,7,18383,213,59,-1796,-749,16,2,10,15,0,18045,7,19132,214,44,0,1,-1,-5,-9,-1,15,0
"97","Blue","Red","Neither","Blue",16,6,5,9,0,16415,6.8,17645,247,37,1626,747,17,2,4,5,0,14789,7,16898,203,51,0,-1,4,1,4,44,-14,-0.2
"98","Blue","Red","Blue","Red",40,1,6,10,0,18012,7.2,19837,250,70,832,1330,12,1,8,11,0,17180,7,18507,186,48,0,28,0,-2,-1,64,22,0.2
"99","Blue","Blue","Blue","Red",16,0,11,11,0,19294,7.4,20668,242,52,2750,2647,14,2,6,9,0,16544,7,18021,203,52,0,2,-2,5,2,39,0,0.4
"100","Red","Neither","Blue","Red",16,1,5,4,0,15383,6.8,17243,227,28,-1524,-827,11,3,8,11,0,16907,7,18070,186,39,0,5,-2,-3,-7,41,-11,-0.2
"101","Red","Blue","Neither","Blue",16,4,6,2,0,15777,6.6,17401,224,53,-1370,-875,20,2,8,9,0,17147,7,18276,210,36,0,-4,2,-2,-7,14,17,-0.4
"102","Red","Red","Neither","Red",14,3,4,4,0,14805,6.6,17323,209,43,-1506,-412,17,3,6,7,0,16311,7,17735,231,44,0,-3,0,-2,-3,-22,-1,-0.4
"103","Red","Red","Red","Red",13,5,6,2,0,15244,6.6,16787,199,52,-1101,-718,17,4,7,5,0,16345,7,17505,212,40,0,-4,1,-1,-3,-13,12,-0.4
"104","Red","Red","Blue","Red",18,4,8,7,0,17574,7.2,19195,252,44,2774,2207,15,4,3,2,0,14800,6.6,16988,225,47,0,3,0,5,5,27,-3,0.600000000000001
"105","Red","Red","Red","Red",24,0,8,9,0,16655,7,17831,222,44,-1806,-588,13,3,11,13,0,18461,7,18419,215,55,0,11,-3,-3,-4,7,-11,0
"106","Red","Blue","Red","Red",12,5,6,8,0,16855,7,18370,248,44,1265,1248,16,5,4,4,0,15590,6.8,17122,207,52,0,-4,0,2,4,41,-8,0.2
"107","Blue","Red","Neither","Red",17,3,6,4,0,15786,6.6,16995,200,46,-4443,-4140,16,3,14,9,0,20229,7.6,21135,227,66,0,1,0,-8,-5,-27,-20,-1
"108","Red","Red","Neither","Red",19,3,3,1,0,15143,7.2,19080,233,59,-927,967,16,4,5,7,0,16070,7,18113,216,48,0,3,-1,-2,-6,17,11,0.2
"109","Blue","Red","Red","Blue",12,3,9,9,0,17309,7,18904,221,36,1425,728,14,2,5,3,0,15884,6.8,18176,208,44,0,-2,1,4,6,13,-8,0.2
"110","Blue","Blue","Neither","Red",14,3,6,6,0,16416,7.4,19684,211,60,1177,1161,14,0,4,2,0,15239,7,18523,204,71,0,0,3,2,4,7,-11,0.4
"111","Blue","Blue","Red","Blue",19,2,2,2,0,15222,7,17812,231,64,-1586,410,17,5,7,14,0,16808,6.8,17402,211,64,0,2,-3,-5,-12,20,0,0.2
"112","Red","Blue","Blue","Red",16,2,5,3,0,15526,6.8,17629,232,44,-2896,-2081,15,2,10,6,0,18422,7.4,19710,236,76,0,1,0,-5,-3,-4,-32,-0.600000000000001
"113","Blue","Neither","Neither","Red",18,1,12,10,0,17597,6.4,15938,143,48,905,1054,12,3,9,9,0,16692,6.2,14884,181,40,0,6,-2,3,1,-38,8,0.2
"114","Red","Neither","Neither","Blue",17,1,9,17,0,16834,6.2,14815,187,29,-3887,-3392,31,1,17,21,0,20721,7,18207,211,40,0,-14,0,-8,-4,-24,-11,-0.8
"115","Blue","Blue","Neither","Blue",32,2,12,12,0,19058,7.2,19575,202,47,3413,2984,16,2,6,7,0,15645,6.6,16591,210,39,0,16,0,6,5,-8,8,0.600000000000001
"116","Red","Blue","Blue","Blue",16,2,7,5,0,16806,7,18034,228,48,-256,-1580,34,2,9,7,0,17062,7.4,19614,230,52,0,-18,0,-2,-2,-2,-4,-0.4
"117","Blue","Neither","Neither","Blue",19,5,7,7,0,16643,6.8,17554,227,44,-1820,-1412,17,7,10,11,0,18463,7.2,18966,231,45,0,2,-2,-3,-4,-4,-1,-0.4
"118","Blue","Blue","Neither","Blue",14,1,6,12,0,16189,6.8,17737,224,39,625,-534,102,1,4,4,0,15564,7,18271,217,48,0,-88,0,2,8,7,-9,-0.2
"119","Red","Red","Neither","Red",12,2,2,1,0,14095,6.8,17286,196,60,-3628,-2009,14,2,6,4,0,17723,7,19295,266,60,0,-2,0,-4,-3,-70,0,-0.2
"120","Red","Red","Blue","Blue",30,6,5,7,0,16804,6.8,17544,217,67,769,480,16,4,5,6,0,16035,6.4,17064,233,54,0,14,2,0,1,-16,13,0.399999999999999
"121","Red","Blue","Red","Red",18,5,8,8,0,17305,7,18192,229,43,-576,-682,18,3,8,6,0,17881,7,18874,198,66,0,0,2,0,2,31,-23,0
"122","Red","Red","Neither","Red",14,16,3,2,0,14539,6.4,16806,213,40,-3900,-3550,42,2,9,8,0,18439,7.6,20356,255,51,0,-28,14,-6,-6,-42,-11,-1.2
"123","Blue","Blue","Red","Red",14,2,9,10,0,17530,7,18299,192,43,-7,-231,19,2,8,8,0,17537,7.2,18530,209,60,0,-5,0,1,2,-17,-17,-0.2
"124","Blue","Red","Neither","Blue",13,6,10,10,0,18431,7.2,19562,207,44,1683,1433,14,3,7,5,0,16748,7,18129,231,56,0,-1,3,3,5,-24,-12,0.2
"125","Red","Red","Neither","Red",16,4,3,2,0,14032,6.8,16550,193,40,-4782,-3408,17,8,10,11,0,18814,7.4,19958,245,51,0,-1,-4,-7,-9,-52,-11,-0.600000000000001
"126","Blue","Blue","Neither","Blue",38,3,9,11,0,17869,7,17810,205,40,636,-214,14,1,7,9,0,17233,6.8,18024,215,48,0,24,2,2,2,-10,-8,0.2
"127","Blue","Blue","Neither","Red",40,1,7,6,0,15974,6.2,16174,183,37,-3421,-2624,13,4,14,12,0,19395,7.2,18798,219,49,0,27,-3,-7,-6,-36,-12,-1
"128","Blue","Blue","Neither","Red",18,5,5,6,0,16108,7.2,18920,240,61,976,1599,39,3,3,5,0,15132,6.8,17321,230,42,0,-21,2,2,1,10,19,0.4
"129","Red","Neither","Red","Red",40,3,6,6,0,16302,6.8,17297,212,52,-211,-1305,17,4,7,7,0,16513,7.2,18602,211,46,0,23,-1,-1,-1,1,6,-0.4
"130","Blue","Neither","Neither","Red",18,5,7,6,0,16750,6.8,17603,215,52,1221,462,35,3,5,5,0,15529,6.8,17141,197,48,0,-17,2,2,1,18,4,0
"131","Blue","Red","Neither","Red",17,5,7,8,0,16506,7.2,18669,226,36,2037,1291,35,3,1,0,0,14469,6.6,17378,217,80,0,-18,2,6,8,9,-44,0.600000000000001
"132","Blue","Blue","Neither","Blue",15,5,6,11,0,16389,7,17937,241,36,817,-94,38,2,3,3,0,15572,6.8,18031,229,58,0,-23,3,3,8,12,-22,0.2
"133","Blue","Red","Neither","Blue",18,2,4,4,0,15760,7,18295,215,48,-137,-351,15,1,4,1,0,15897,7,18646,227,72,0,3,1,0,3,-12,-24,0
"134","Blue","Blue","Neither","Blue",43,6,4,4,0,15176,6.4,16820,226,33,-1539,-1497,23,9,7,12,0,16715,7.2,18317,205,52,0,20,-3,-3,-8,21,-19,-0.8
"135","Red","Red","Neither","Red",13,5,5,4,0,15196,6.4,16908,191,48,-1707,-1286,62,3,7,10,0,16903,7,18194,216,51,0,-49,2,-2,-6,-25,-3,-0.6
"136","Blue","Blue","Neither","Red",13,1,6,2,0,16250,7,17537,228,55,-556,-235,17,1,9,13,0,16806,6.8,17772,143,60,0,-4,0,-3,-11,85,-5,0.2
"137","Blue","Blue","Red","Blue",20,1,9,15,0,16541,6.6,16779,199,37,-146,-717,12,3,7,8,0,16687,6.8,17496,225,44,0,8,-2,2,7,-26,-7,-0.2
"138","Blue","Red","Blue","Blue",15,1,12,9,0,18657,7.2,19205,227,37,4083,2884,15,2,4,1,0,14574,6.6,16321,191,52,0,0,-1,8,8,36,-15,0.600000000000001
"139","Blue","Red","Neither","Red",17,1,5,6,0,16873,7.2,19105,223,64,1389,1418,38,2,5,7,0,15484,6.8,17687,226,49,0,-21,-1,0,-1,-3,15,0.4
